"","year","coal","oil","gas","nuclear","wind","pv.large","solar","bio","geo","hydro","pv.small"
"1",2010,1847290,37061,999010,806968,94652,423,789,56089,15219,260203,NA
"2",2011,1733430,30182,1025255,790204,120177,1012,806,56671,15316,319355,NA
"3",2012,1514043,23190,1237792,769331,140822,3451,876,57622,15562,276240,NA
"4",2013,1581115,27164,1137689,789016,167840,8121,915,60858,15775,268565,NA
"5",2014,1581710,30231,1138631,797166,181655,15250,2441,63990,15877,259367,11233
"6",2015,1352398,28249,1346599,797178,190719,21666,3227,63632,15918,249080,14139
"7",2016,1239149,24205,1391114,805694,226993,32670,3384,62761,15826,267812,18812
"8",2017,1205835,21390,1308911,804950,254303,50018,3269,62733,15927,300333,23990
"9",2018,1149487,25226,1482596,807084,272667,60234,3592,61832,15967,292524,29539
"10",2019,964957,18341,1598405,809409,295882,68719,3218,57506,15473,287874,34957
"11",2020,773393,17341,1635868,789879,337938,86066,3133,54703,15890,285274,41522
