Code,code_impute
130,11-3110
130,11-3120
130,11-3130
510,13-1020
520,13-1020
530,13-1020
620,13-1140
620,13-1150
620,13-1070
2150,23-2090
3130,29-1140
3130,29-1150
3130,29-1160
3130,29-1170
3410,29-2050
8230,51-5112
8230,51-5113
9100,53-3010
9830,
1020,15-1132
1020,15-1133
1100,15-1142
1100,15-1143
2020,21-1090
3650,31-9092
3650,31-9093
3650,31-9094
3650,31-9095
3650,31-9096
3650,31-9097
3650,31-9099
3950,33-9092
3950,33-9093
3950,33-9099
4220,37-2011
4220,37-2019
4460,39-4000
6100,
6940,47-5050
6940,47-5060
6940,47-5070
6940,47-5080
6940,47-5090
7100,49-2093
7100,49-2094
7100,49-2095
7330,49-9041
7330,49-9045
9420,53-6010
9420,53-6040
9420,53-6060
9420,53-6090
