"Dim1","Dim2","Val"
"2010","AC",130761957.734
"2010","DC",4550000
"2012","AC",134741553.734
"2012","DC",4550000
"2014","AC",137449741.734
"2014","DC",4550000
"2016","AC",138710159.734
"2016","DC",4550000
"2018","AC",141393650.734
"2018","DC",4550000
"2020","AC",142833539.734
"2020","DC",4550000
"2022","AC",142833539.734
"2022","DC",4550000
"2024","AC",144634513.918446
"2024","DC",4550000
"2026","AC",148286903.628828
"2026","DC",5232615.97812523
"2028","AC",151369899.965388
"2028","DC",6292032.89596764
"2030","AC",155836577.076864
"2030","DC",6465897.11712135
"2032","AC",158618052.414487
"2032","DC",6490208.16948788
"2034","AC",162689696.692549
"2034","DC",6769957.31109313
"2036","AC",167279251.650678
"2036","DC",6983090.52837909
"2038","AC",171901710.639515
"2038","DC",7454470.93593797
"2040","AC",178307012.214265
"2040","DC",7812249.22091395
"2042","AC",186994894.675492
"2042","DC",8487908.40941683
"2044","AC",198047452.704819
"2044","DC",9367389.22135984
"2046","AC",213106004.894106
"2046","DC",10725223.6504241
"2048","AC",228832951.541701
"2048","DC",12376404.3639682
"2050","AC",245750221.44065
"2050","DC",13465266.4080062
