"","years","technology","capacity"
"1",2010,"Coal",313393.9
"2",2011,"Coal",314056.1
"3",2012,"Coal",304974.9
"4",2013,"Coal",302604.4
"5",2014,"Coal",299064.7
"6",2015,"Coal",286082.7
"7",2016,"Coal",269477.1
"8",2017,"Coal",259930.2
"9",2018,"Coal",246866.8
"10",2019,"Coal",235089.3
"11",2020,"Coal",220623.2
"12",2010,"Gas CC CCS",0
"13",2011,"Gas CC CCS",0
"14",2012,"Gas CC CCS",0
"15",2013,"Gas CC CCS",0
"16",2014,"Gas CC CCS",0
"17",2015,"Gas CC CCS",0
"18",2016,"Gas CC CCS",0
"19",2017,"Gas CC CCS",0
"20",2018,"Gas CC CCS",0
"21",2019,"Gas CC CCS",0
"22",2020,"Gas CC CCS",0
"23",2010,"Gas CC",202404.4
"24",2011,"Gas CC",210518.7
"25",2012,"Gas CC",217938.2
"26",2013,"Gas CC",219902.9
"27",2014,"Gas CC",224183.2
"28",2015,"Gas CC",231467.5
"29",2016,"Gas CC",236442.8
"30",2017,"Gas CC",242839.1
"31",2018,"Gas CC",254403.3
"32",2019,"Gas CC",266846.5
"33",2020,"Gas CC",274300.4
"34",2010,"Gas CT",229073.9
"35",2011,"Gas CT",227548.2
"36",2012,"Gas CT",218992.1
"37",2013,"Gas CT",221855.2
"38",2014,"Gas CT",220869.7
"39",2015,"Gas CT",222265.5
"40",2016,"Gas CT",224051.5
"41",2017,"Gas CT",222472.4
"42",2018,"Gas CT",220687.9
"43",2019,"Gas CT",217692.8
"44",2020,"Gas CT",218114.2
"45",2010,"Nuclear",101167.4
"46",2011,"Nuclear",101265.1
"47",2012,"Nuclear",101166
"48",2013,"Nuclear",99006.8
"49",2014,"Nuclear",98569.3
"50",2015,"Nuclear",98614.6
"51",2016,"Nuclear",99364.8
"52",2017,"Nuclear",99619.5
"53",2018,"Nuclear",99605.2
"54",2019,"Nuclear",98836.7
"55",2020,"Nuclear",97238.3
"56",2010,"Hydro",78810.3
"57",2011,"Hydro",78564.7
"58",2012,"Hydro",78296.6
"59",2013,"Hydro",78873.5
"60",2014,"Hydro",79582.8
"61",2015,"Hydro",79650.8
"62",2016,"Hydro",79806
"63",2017,"Hydro",79698.8
"64",2018,"Hydro",79771.9
"65",2019,"Hydro",79838
"66",2020,"Hydro",79810.4
"67",2010,"Biomass",6227.7
"68",2011,"Biomass",6372.5
"69",2012,"Biomass",6442.5
"70",2013,"Biomass",7121.3
"71",2014,"Biomass",7108.6
"72",2015,"Biomass",7632.2
"73",2016,"Biomass",7558.3
"74",2017,"Biomass",7501.4
"75",2018,"Biomass",7602.9
"76",2019,"Biomass",7290.6
"77",2020,"Biomass",6929
"78",2010,"Geothermal",2392.1
"79",2011,"Geothermal",2407.9
"80",2012,"Geothermal",2531.8
"81",2013,"Geothermal",2509.5
"82",2014,"Geothermal",2513.3
"83",2015,"Geothermal",2523
"84",2016,"Geothermal",2516.6
"85",2017,"Geothermal",2460.4
"86",2018,"Geothermal",2391.5
"87",2019,"Geothermal",2535.2
"88",2020,"Geothermal",2561.5
"89",2010,"Wind on",35702.6
"90",2011,"Wind on",42019.2
"91",2012,"Wind on",49458
"92",2013,"Wind on",59175.6
"93",2014,"Wind on",60587.8
"94",2015,"Wind on",67106.2
"95",2016,"Wind on",74162.7
"96",2017,"Wind on",83355.6
"97",2018,"Wind on",89228.5
"98",2019,"Wind on",97564.8
"99",2020,"Wind on",107387.7
"100",2010,"Wind off",0
"101",2011,"Wind off",0
"102",2012,"Wind off",0
"103",2013,"Wind off",0
"104",2014,"Wind off",0
"105",2015,"Wind off",0
"106",2016,"Wind off",0
"107",2017,"Wind off",0
"108",2018,"Wind off",0
"109",2019,"Wind off",0
"110",2020,"Wind off",0
"111",2010,"CSP",473
"112",2011,"CSP",485.3
"113",2012,"CSP",476
"114",2013,"CSP",552.1
"115",2014,"CSP",1445.3
"116",2015,"CSP",1697.3
"117",2016,"CSP",1757.9
"118",2017,"CSP",1757.9
"119",2018,"CSP",1757.9
"120",2019,"CSP",1758.1
"121",2020,"CSP",1747.9
"122",2010,"PV utility",206.8
"123",2011,"PV utility",537
"124",2012,"PV utility",1527.1
"125",2013,"PV utility",3525.2
"126",2014,"PV utility",6555.6
"127",2015,"PV utility",9521.6
"128",2016,"PV utility",14161.4
"129",2017,"PV utility",21940.9
"130",2018,"PV utility",27143.3
"131",2019,"PV utility",31840.8
"132",2020,"PV utility",39458.1
"133",2010,"PV dist",NA
"134",2011,"PV dist",NA
"135",2012,"PV dist",NA
"136",2013,"PV dist",NA
"137",2014,"PV dist",7326.6
"138",2015,"PV dist",9778.5
"139",2016,"PV dist",12765.1
"140",2017,"PV dist",16147.8
"141",2018,"PV dist",19547.1
"142",2019,"PV dist",23213.6
"143",2020,"PV dist",27584.8
"144",2010,"Batteries",NA
"145",2011,"Batteries",NA
"146",2012,"Batteries",NA
"147",2013,"Batteries",126.7
"148",2014,"Batteries",155.1
"149",2015,"Batteries",206.8
"150",2016,"Batteries",423
"151",2017,"Batteries",632.8
"152",2018,"Batteries",713.6
"153",2019,"Batteries",949.8
"154",2020,"Batteries",1210.3
"155",2010,"PHS",NA
"156",2011,"PHS",NA
"157",2012,"PHS",NA
"158",2013,"PHS",22389.3
"159",2014,"PHS",22477.9
"160",2015,"PHS",22568.9
"161",2016,"PHS",22752.7
"162",2017,"PHS",22791.7
"163",2018,"PHS",22815.4
"164",2019,"PHS",22754.7
"165",2020,"PHS",22939.6
