year,short name,naics,tot_emp,a_mean,a_median,capacity_MW,output_GWh,price,real_output_usd_2012
2019,total,221100,384460,84280,81430,1096938.1999999997,4154741.0,,350463
2019,hydro,221111,6210,75720,75490,79773.1,287874.0,113.099,2633
2019,fossil,221112,83640,85900,84360,739124.2999999999,2581703.0,113.08,87092
2019,nuclear,221113,42330,97770,95720,98119.0,809409.0,113.501,30843
2019,solar,221114,2980,89790,70860,60681.899999999994,106894.0,113.383,681
2019,wind,221115,6200,81600,69850,103571.2,295882.0,112.821,5640
2019,geothermal,221116,1060,76680,71860,2555.4,15473.0,113.025,1194
2019,biomass,221117,1840,70730,63740,13113.3,57506.0,113.182,922
2019,other,221118,1280,89330,79820,,,113.527,203
2018,total,221100,393110,81670,78710,1089110.0,4200748.0,,363747
2018,hydro,221111,6100,75950,75330,79871.8,292524.0,108.899,2796
2018,fossil,221112,89120,82680,80950,747784.6,2657309.0,108.886,92288
2018,nuclear,221113,43940,90440,89510,99432.9,807084.0,109.313,32692
2018,solar,221114,2560,87260,76030,51425.5,93365.0,109.016,715
2018,wind,221115,5860,76690,68190,94417.7,272667.0,108.622,5945
2018,geothermal,221116,1070,73700,66920,2444.3,15967.0,108.785,1265
2018,biomass,221117,1380,68490,59700,13733.2,61832.0,108.919,978
2018,other,221118,1450,92470,85830,,,109.267,211
2017,total,221100,389680,79510,76610,1074820.7,4051659.0,,363163
2017,hydro,221111,5610,71190,70100,79794.5,300333.0,98.525,2942
2017,fossil,221112,92310,81080,79070,748241.4,2536136.0,98.518,97226
2017,nuclear,221113,45880,89550,88710,99628.9,804950.0,98.931,34430
2017,solar,221114,2180,83520,72430,43114.7,77277.0,99.102,731
2017,wind,221115,5240,73720,64130,87597.5,254303.0,98.241,6222
2017,geothermal,221116,1130,71430,67350,2483.3,15927.0,98.236,1334
2017,biomass,221117,1380,64060,54460,13960.4,62733.0,98.418,1035
2017,other,221118,1160,98730,90370,,,98.835,216
2016,total,221100,387380,77810,74930,1062304.1,4088420.0,,377452
2016,hydro,221111,5850,72810,72570,79912.9,267812.0,95.42,3056
2016,fossil,221112,94100,77990,75970,750282.4,2654468.0,95.393,100999
2016,nuclear,221113,48140,88400,87570,99564.8,805694.0,95.822,35761
2016,solar,221114,2290,90250,76010,34715.9,54866.0,96.029,750
2016,wind,221115,4220,72170,63980,81286.6,226993.0,95.115,6473
2016,geothermal,221116,1120,69560,65310,2516.6,15826.0,95.075,1385
2016,biomass,221117,1410,63050,56110,14024.9,62761.0,95.28,1070
2016,other,221118,810,82320,71680,,,95.607,223
2015,total,221100,392570,75250,72610,1049462.3,4082805.0,,391751
2015,hydro,221111,5990,68120,66650,79664.2,249080.0,103.877,3007
2015,fossil,221112,95840,75300,73640,758476.0,2727246.0,103.837,99738
2015,nuclear,221113,48160,85820,85300,98672.0,797178.0,104.168,35346
2015,solar,221114,1760,90160,76520,23441.8,39032.0,104.212,719
2015,wind,221115,3940,68060,59100,72573.4,190719.0,103.687,6385
2015,geothermal,221116,1070,75970,67540,2541.5,15918.0,103.781,1365
2015,biomass,221117,1360,62820,57920,14093.4,63632.0,103.908,1059
2015,other,221118,780,86400,78850,,,104.526,218
2014,total,221100,389750,72800,70380,1050471.1,4097551.0,,377666
2013,total,221100,387640,70570,68200,1035367.2000000001,4057058.0,,371294
2012,total,221100,398230,67950,65790,1038935.8,4038929.0,,366948
2011,total,221100,395710,66830,64680,1027538.7999999999,4092408.0,,362224
2010,total,221100,395570,65150,62650,1015979.1,4117704.0,,375331
