naics,occ-code,tot_emp
221000,17-1010,50
221000,17-1020,980
221000,21-1090,0
221000,41-9040,120
221000,47-4070,250
221000,47-5020,210
221000,53-6030,80
221000,53-6090,80
221100,17-3010,2340
221100,19-4040,80
221100,21-1090,0
221100,41-3030,160
221100,49-2020,440
221100,49-9052,1660
221100,51-8090,1100
221100,53-2010,0
221100,53-6090,90
221200,17-1020,460
221200,41-9040,120
221200,41-9099,60
221200,43-4190,100
221200,43-5070,30
221200,43-9050,70
221200,49-9051,2650
221200,51-8010,830
221200,51-8020,710
221200,53-6030,80
221300,17-3010,80
221300,33-9030,0
221300,47-3010,170
221300,47-4070,270
221300,49-9051,120
221300,51-8010,165
221300,51-8090,165
221300,51-9199,160
221300,53-7030,40
221111,13-1070,75
221111,13-1080,75
221111,51-8090,70
221111,51-9060,110
221111,51-9198,100
221112,53-2010,0
221115,49-9041,430
221115,15-1120,50
221115,51-1010,80
221118,51-8010,390
